0,3700,3700,0,23000
1,4700,4400,0,22000
2,3300,3600,0,23000
3,4300,4200,0,23000
4,4000,4000,0,22800
5,3700,3700,0,22900
6,3800,3900,0,24400
7,3500,4200,0,24200
8,3500,3500,0,23100
9,4000,3600,0,22300
10,3900,3800,0,23700
11,3700,3500,0,23400
12,3400,3600,0,23200
13,3800,3800,0,23800
14,3900,3800,0,23000
15,4100,4100,0,24400
16,3700,3500,0,22600
17,3700,3900,0,24800
18,3700,3700,0,25900
19,5200,4700,0,25600
20,4000,3800,0,22800
21,4300,3900,0,24500
22,3800,3500,0,22900
23,3500,3200,0,22800
24,3800,3700,0,23100
25,4100,4000,0,22400
26,3900,3700,0,23100
27,4000,3700,0,23000
28,5700,5700,0,27900
29,3700,3400,0,24900
30,3900,4000,100,25000
31,4000,3900,0,23900
32,3900,3600,0,21900
33,3900,3800,0,25000
34,3800,4300,0,24600
35,3500,3500,100,22900
36,3300,3500,0,22800
37,4100,4000,0,23400
38,3700,3800,0,21600
39,3900,3800,0,21800
40,3800,3300,0,22600
41,4200,3700,0,22100
42,3500,3700,0,23900
43,3800,3300,0,23400
44,4000,3900,0,22600
45,3400,3500,0,24800
46,4100,4000,0,24800
47,4000,3900,0,22700
48,4300,4200,0,22700
49,3600,3700,0,24300
50,3700,3800,0,22200
51,3400,3700,0,23500
52,4200,4100,0,24000
53,3400,3500,0,22200
54,3500,3300,0,22700
55,3500,3200,0,23600
56,4700,3300,0,22800
57,3700,3600,0,23400
58,3900,3800,0,22900
59,3900,3500,0,23400
60,3600,3700,0,22800
61,3500,3300,0,22700
62,4000,3800,0,23000
63,3600,3700,0,23000
64,3600,3500,0,23700
65,3600,3600,0,22400
66,3700,3500,0,23900
67,3700,3700,0,23800
68,3700,3700,0,24500
69,3500,3700,0,23100
70,3800,4400,0,22300
71,3800,3600,0,24600
72,3600,3500,0,22500
73,3400,4300,0,22700
74,3500,3600,0,24200
75,4100,3700,0,25700
76,4100,3900,0,23700
77,4200,4000,0,25100
78,4000,3900,100,23500
79,3700,3500,0,24700
80,4400,3600,0,22100
81,3400,3400,0,25900
82,4600,4000,0,23100
83,3900,4100,0,22800
84,4100,3800,0,23500
85,3500,3900,0,23900
86,3700,3600,0,25000
87,3300,3500,0,22500
88,4000,3800,0,22300
89,3400,3500,0,25200
90,3400,3600,0,23400
91,3500,3500,0,22900
92,4200,4700,0,25200
93,3900,3900,0,23100
94,3200,3400,0,22800
95,4000,4500,0,26300
96,3900,3800,100,23000
97,3500,3500,0,22900
98,3400,3400,0,26000
99,3600,3500,0,22400
,,,,
,38.27272727,37.66666667,0.04040404,235.2727273
