0,7440,6036.8,4700
1,7440,6842.6,5680
2,7500,7255,6380
3,7740,7429.4,6800
4,7740,7592,6360
5,7760,7720.2,6900
6,7840,7724.8,6980
7,7880,7737.6,7080
8,7960,7819.2,6940
9,7960,7898.4,6840
10,7960,7920.2,6900
11,8000,7945.2,7400
12,8000,7912.4,6300
13,8040,7921,6560
14,8040,7949.4,6780
15,8040,8013.2,7100
16,8040,8021,7480
17,8040,8004.4,7160
18,8040,7993.2,6720
19,8040,8002.6,7060
20,8040,7981.6,6860
21,8040,7984.8,7180
22,8080,8009,6400
23,8080,8047.2,7760
24,8120,8046,6660
25,8120,8074,6720
26,8160,8086.2,7080
27,8160,8089.2,6940
28,8200,8148.6,7620
29,8200,8134.6,6880
30,8280,8142.4,7020
31,8280,8180.2,6600
32,8280,8199.8,7240
33,8320,8235.2,7360
34,8360,8214.6,6920
35,8400,8294,6560
36,8440,8294.6,7200
37,8520,8381.6,6940
38,8520,8437.8,7140
39,8560,8451.6,6740
40,8560,8485.6,7040
41,8560,8517.4,6620
42,8560,8471.8,6340
43,8560,8555.4,8220
44,8560,8477.2,6900
45,8560,8499.6,6840
46,8560,8500.4,6840
47,8560,8518.4,7160
48,8560,8483.2,7080
49,8560,8519,7640
50,8560,8523.8,7680
51,8560,8524.8,7260
52,8560,8507.2,7200
53,8560,8506.4,7000
54,8560,8556,8160
55,8560,8485,7480
56,8560,8497,6880
57,8560,8499.6,6440
58,8560,8515.6,7380
59,8560,8539.2,7960
60,8580,8513.2,6980
61,8600,8514.4,7040
62,8600,8560.8,7020
63,8600,8541.6,6960
64,8600,8531.2,6780
65,8600,8574.4,7840
66,8600,8532.2,6700
67,8640,8587.6,7720
68,8640,8573,6820
69,8640,8597.2,7360
70,8640,8592.6,6720
71,8640,8621,8060
72,8640,8632,7840
73,8640,8592.4,6720
74,8640,8599.8,6620
75,8640,8588.2,7520
76,8640,8562.8,6980
77,8640,8546.4,7020
78,8640,8580.8,6720
79,8640,8581,7000
80,8640,8581.2,7140
81,8640,8598.4,7520
82,8640,8549.2,6180
83,8640,8581,7040
84,8640,8592.6,7040
85,8640,8575.4,6900
86,8640,8613,7600
87,8640,8598,7100
88,8640,8607.6,7920
89,8640,8602.4,7100
90,8640,8569.8,6980
91,8640,8604.4,7660
92,8640,8591.8,6980
93,8640,8591.2,7380
94,8640,8503.8,6900
95,8640,8542.2,6600
96,8640,8590.8,6180
97,8640,8585.4,7560
98,8640,8541.6,6520
99,8640,8549,6680
100,8640,8586.6,7540
101,8640,8592,6280
102,8640,8612.6,7660
103,8640,8587.8,7080
104,8640,8593.6,6620
105,8640,8582,6160
106,8640,8570.4,7440
107,8640,8502.4,6120
108,8640,8596,6880
109,8640,8582.2,7140
110,8640,8551.8,6980
111,8640,8565.8,5760
112,8640,8589.4,7360
113,8640,8587,7280
114,8640,8636.8,8360
115,8640,8593,7580
116,8640,8599.6,7540
117,8640,8624.2,8020
118,8640,8582.4,7600
119,8640,8599.8,7200
120,8640,8583.8,7340
121,8640,8576.8,7360
122,8640,8564.2,6480
123,8640,8609.8,7680
124,8640,8581.6,6740
125,8640,8578,7280
126,8640,8595.4,7820
127,8640,8570.4,7520
128,8640,8613.6,7900
129,8640,8563,5620
130,8640,8619.4,7180
131,8640,8612,7020
132,8640,8592,6700
133,8640,8616.2,7340
134,8640,8594,7640
135,8640,8618.4,7900
136,8640,8579.6,7140
137,8640,8584.6,6500
138,8640,8621.4,7700
139,8640,8585.4,6640
140,8640,8605.8,7300
141,8640,8637.4,8460
142,8640,8601.8,7660
143,8640,8599.6,6700
144,8640,8591.6,7180
145,8640,8585,7340
146,8640,8565.8,7240
147,8640,8603.8,6880
148,8640,8621,8100
149,8640,8608.8,7100
150,8640,8596.2,7040
151,8640,8569,6620
152,8640,8576.4,6800
153,8640,8578.8,7540
154,8640,8623,7680
155,8640,8609.6,7520
156,8640,8582.2,7600
157,8640,8555,6880
158,8640,8549,7120
159,8640,8590.4,7160
160,8640,8544.6,6980
161,8640,8600.6,7740
162,8640,8600.8,7280
163,8640,8622,7080
164,8640,8621.6,8020
165,8640,8582,6560
166,8640,8607.8,7100
167,8640,8578,6480
168,8640,8595.6,7560
169,8640,8610.2,7780
170,8640,8598,6940
171,8640,8617.4,7980
172,8640,8623.4,7840
173,8640,8590.2,6800
174,8640,8555.6,6920
175,8640,8572,6880
176,8640,8546.6,6780
177,8640,8570.6,6600
178,8640,8573.8,7400
179,8640,8602.2,7640
180,8640,8624.6,8160
181,8640,8598.8,6040
182,8640,8602,7840
183,8640,8556.8,7120
184,8640,8624.4,7820
185,8640,8561.8,7260
186,8640,8633.4,8300
187,8640,8600.8,7220
188,8640,8589.6,6640
189,8640,8582.2,7480
190,8640,8589,7000
191,8640,8596.8,7360
192,8640,8620.6,8060
193,8640,8600.2,7720
194,8640,8589.6,7340
195,8640,8612,8020
196,8640,8588.6,6920
197,8640,8610,7540
198,8640,8583,6800
199,8640,8617,7520
200,8640,8555,6820
