,best fitness, average fitness, worst fitness
0,149.59999999999957,146.93999999999969,145.19999999999953
1,149.59999999999957,146.85199999999963,145.1999999999995
2,149.59999999999957,146.66399999999965,145.5999999999995
3,149.59999999999957,146.53199999999967,145.5999999999995
4,148.39999999999958,146.2279999999996,145.99999999999952
5,147.99999999999955,146.08799999999962,145.99999999999952
6,148.79999999999956,146.0399999999996,145.9999999999995
7,148.39999999999955,146.0839999999996,145.9999999999995
8,148.39999999999958,146.06399999999962,145.99999999999952
9,148.39999999999955,146.0839999999996,145.9999999999995
10,148.79999999999956,146.07999999999961,145.5999999999995
11,147.59999999999957,146.05599999999964,145.99999999999952
12,147.19999999999953,146.0759999999996,145.99999999999952
13,147.19999999999953,146.36799999999954,145.9999999999995
14,148.39999999999958,146.65199999999942,145.9999999999995
15,147.99999999999957,146.69999999999945,145.5999999999995
16,147.19999999999953,146.5479999999995,145.9999999999995
17,147.19999999999953,146.70799999999943,145.99999999999952
18,147.99999999999955,146.8039999999994,145.99999999999952
19,147.99999999999955,146.81199999999941,145.99999999999952
20,146.79999999999953,146.78399999999937,145.99999999999952
21,147.59999999999954,146.8119999999994,146.39999999999952
22,146.79999999999953,146.7999999999994,146.79999999999953
23,147.59999999999954,146.79599999999937,145.9999999999995
24,148.39999999999955,146.82799999999938,145.99999999999952
25,147.19999999999953,146.79199999999938,145.5999999999995
26,147.19999999999953,146.80799999999937,146.79999999999953
27,148.79999999999959,146.81199999999941,145.5999999999995
28,147.99999999999955,146.8079999999994,146.3999999999995
29,147.59999999999954,146.7959999999994,145.5999999999995
30,147.99999999999952,146.82399999999942,145.99999999999952
31,147.99999999999955,146.8199999999994,146.79999999999953
32,148.79999999999953,146.8279999999994,145.99999999999952
33,148.39999999999958,146.81599999999938,146.39999999999952
34,147.99999999999955,146.8079999999994,146.39999999999952
35,147.59999999999954,146.8119999999994,146.79999999999953
36,148.79999999999956,146.8279999999994,146.39999999999952
37,147.99999999999955,146.81999999999937,146.7999999999995
38,147.99999999999957,146.7959999999994,145.59999999999948
39,147.99999999999955,146.78799999999939,145.5999999999995
40,147.99999999999955,146.81999999999937,146.3999999999995
41,147.59999999999957,146.8239999999994,146.39999999999952
42,147.59999999999954,146.8079999999994,146.7999999999995
43,147.99999999999955,146.81599999999938,145.99999999999952
44,147.59999999999957,146.8159999999994,145.99999999999952
45,147.99999999999955,146.8079999999994,146.39999999999952
46,147.99999999999955,146.8119999999994,146.39999999999955
47,147.99999999999955,146.81199999999936,146.39999999999955
48,147.19999999999953,146.80399999999938,146.39999999999952
49,147.19999999999953,146.79199999999938,145.99999999999952
50,149.1999999999996,146.83599999999942,145.5999999999995
51,147.99999999999957,146.79199999999938,145.5999999999995
52,147.99999999999955,146.7759999999994,145.59999999999954
53,148.39999999999955,146.8039999999994,145.59999999999948
54,148.39999999999958,146.8319999999994,145.99999999999952
55,147.99999999999955,146.81999999999937,146.79999999999953
56,147.99999999999955,146.8039999999994,145.99999999999952
57,146.79999999999956,146.79599999999937,146.39999999999952
58,147.99999999999957,146.8239999999994,145.5999999999995
59,149.19999999999956,146.8479999999994,146.79999999999953
60,147.59999999999954,146.79199999999938,145.99999999999952
61,149.1999999999996,146.83999999999938,146.39999999999952
62,148.79999999999959,146.83999999999938,146.39999999999952
63,149.19999999999956,146.8479999999994,146.3999999999995
64,147.99999999999955,146.81599999999938,145.9999999999995
65,147.99999999999957,146.8279999999994,146.39999999999952
66,147.99999999999955,146.80399999999938,146.3999999999995
67,147.99999999999955,146.78799999999939,145.5999999999995
68,147.99999999999955,146.81199999999936,146.39999999999952
69,146.79999999999953,146.78399999999937,146.3999999999995
70,147.99999999999957,146.8159999999994,145.99999999999955
71,147.19999999999956,146.78799999999939,146.39999999999952
72,148.39999999999955,146.81599999999938,145.99999999999952
73,147.19999999999953,146.78799999999939,145.9999999999995
74,147.59999999999954,146.81199999999936,146.79999999999953
75,147.99999999999955,146.81999999999937,146.7999999999995
76,147.99999999999955,146.79199999999938,145.5999999999995
77,147.99999999999955,146.81199999999936,146.39999999999952
78,146.79999999999953,146.77999999999938,145.99999999999955
79,147.99999999999957,146.83599999999942,146.39999999999952
80,148.39999999999955,146.8079999999994,146.3999999999995
81,146.79999999999953,146.7999999999994,146.79999999999953
82,146.79999999999953,146.78799999999939,145.9999999999995
83,148.39999999999955,146.81999999999937,146.79999999999953
84,147.19999999999953,146.80399999999938,146.79999999999953
85,147.99999999999955,146.81599999999938,145.99999999999955
86,147.99999999999955,146.83199999999937,146.79999999999953
87,147.99999999999957,146.8159999999994,145.99999999999952
88,147.99999999999955,146.8039999999994,146.39999999999952
89,147.99999999999955,146.7719999999994,145.5999999999995
90,147.99999999999957,146.8239999999994,146.39999999999952
91,147.99999999999957,146.8239999999994,145.99999999999952
92,147.19999999999953,146.81199999999936,146.79999999999953
93,147.99999999999955,146.7959999999994,145.99999999999952
94,147.99999999999955,146.80799999999942,145.5999999999995
95,146.79999999999953,146.7959999999994,146.3999999999995
96,147.19999999999953,146.77599999999939,145.5999999999995
97,147.99999999999955,146.8159999999994,146.39999999999952
98,147.99999999999955,146.8279999999994,146.7999999999995
99,147.59999999999954,146.81199999999936,146.7999999999995
100,148.39999999999955,146.8119999999994,145.99999999999952
101,147.99999999999955,146.8079999999994,146.39999999999952
102,147.99999999999957,146.8319999999994,145.59999999999954
103,147.59999999999954,146.7999999999994,145.99999999999952
104,148.39999999999958,146.81599999999938,145.99999999999952
105,149.1999999999996,146.80399999999938,145.59999999999954
106,147.59999999999954,146.70399999999944,146.39999999999952
107,147.19999999999953,146.6319999999995,145.59999999999948
108,148.39999999999955,146.54799999999955,146.39999999999952
109,147.99999999999957,146.73999999999944,146.39999999999952
110,147.59999999999954,146.5759999999995,145.99999999999952
111,148.79999999999956,146.4639999999996,145.9999999999995
112,148.39999999999955,146.45599999999965,145.5999999999995
113,147.99999999999957,146.42799999999963,145.99999999999952
114,147.1999999999995,146.3999999999996,145.9999999999995
115,148.39999999999955,146.43999999999963,145.5999999999995
116,147.59999999999954,146.4279999999996,146.39999999999952
117,146.79999999999953,146.40399999999963,146.39999999999952
118,147.59999999999954,146.40799999999962,145.99999999999952
119,148.39999999999958,146.4279999999996,145.99999999999952
120,147.59999999999954,146.41999999999962,145.5999999999995
121,147.59999999999957,146.41999999999962,145.5999999999995
122,147.59999999999957,146.4359999999996,146.39999999999952
123,147.59999999999954,146.40799999999962,145.5999999999995
124,149.1999999999996,146.43999999999963,146.39999999999952
125,147.99999999999955,146.41599999999963,145.99999999999952
126,146.79999999999953,146.3999999999996,145.9999999999995
127,147.99999999999957,146.41599999999963,146.39999999999952
128,147.19999999999953,146.41999999999962,146.39999999999952
129,147.19999999999953,146.4119999999996,146.39999999999952
130,147.59999999999954,146.41199999999964,146.39999999999952
131,148.79999999999959,146.46799999999962,146.3999999999995
132,148.39999999999955,146.45199999999963,146.39999999999952
133,147.99999999999957,146.43199999999962,145.59999999999948
134,148.39999999999955,146.45599999999965,146.39999999999952
135,147.59999999999957,146.41999999999965,146.3999999999995
136,147.99999999999955,146.4359999999996,146.3999999999995
137,147.99999999999955,146.42799999999963,145.99999999999952
138,148.39999999999955,146.45199999999963,146.3999999999995
139,149.1999999999996,146.47999999999962,146.39999999999952
140,147.59999999999957,146.43199999999962,146.39999999999952
141,149.19999999999956,146.43199999999962,146.39999999999952
142,147.99999999999955,146.44399999999962,146.39999999999952
143,147.19999999999953,146.40799999999962,146.39999999999952
144,147.59999999999954,146.41599999999963,146.39999999999952
145,147.59999999999954,146.4199999999996,145.99999999999952
146,147.59999999999957,146.40799999999962,145.9999999999995
147,147.59999999999954,146.42399999999964,145.59999999999948
148,149.59999999999957,146.46399999999963,145.9999999999995
149,147.59999999999954,146.41199999999964,146.39999999999952
150,147.99999999999957,146.4239999999996,146.3999999999995
151,147.99999999999955,146.49999999999966,145.9999999999995
152,147.99999999999957,146.43199999999962,145.59999999999948
153,148.79999999999956,146.45999999999964,146.39999999999952
154,147.59999999999957,146.41199999999964,146.3999999999995
155,147.59999999999957,146.44399999999962,145.9999999999995
156,147.59999999999957,146.4239999999996,145.9999999999995
157,147.99999999999957,146.43199999999962,145.99999999999952
158,146.39999999999952,146.3999999999996,146.3999999999995
159,148.79999999999959,146.4359999999996,145.9999999999995
160,147.99999999999957,146.45199999999963,146.3999999999995
161,147.99999999999955,146.4359999999996,145.99999999999952
162,148.79999999999956,146.4279999999996,146.39999999999952
163,148.79999999999959,146.4479999999996,145.99999999999952
164,147.59999999999957,146.42799999999963,146.3999999999995
165,147.99999999999955,146.41199999999964,145.5999999999995
166,147.59999999999957,146.41999999999965,146.3999999999995
167,147.59999999999957,146.41199999999964,146.3999999999995
168,147.99999999999955,146.41999999999962,145.59999999999948
169,147.5999999999995,146.41599999999963,146.39999999999952
170,147.59999999999957,146.4039999999996,145.59999999999948
171,147.99999999999955,146.45599999999965,145.99999999999952
172,147.59999999999954,146.43199999999962,146.3999999999995
173,149.19999999999956,146.43199999999962,145.9999999999995
174,147.99999999999955,146.43999999999963,145.59999999999948
175,148.39999999999958,146.4519999999996,146.3999999999995
176,147.1999999999995,146.40399999999963,145.9999999999995
177,147.99999999999957,146.43999999999963,145.9999999999995
178,147.59999999999957,146.43199999999962,146.3999999999995
179,147.99999999999955,146.4359999999996,146.3999999999995
180,147.59999999999957,146.41999999999962,145.9999999999995
181,148.39999999999955,146.4239999999996,145.59999999999948
182,148.39999999999958,146.41999999999962,145.9999999999995
183,147.99999999999955,146.40799999999962,145.59999999999948
184,148.39999999999955,146.47999999999962,146.39999999999952
185,147.99999999999955,146.4359999999996,146.39999999999952
186,147.59999999999957,146.42799999999963,145.9999999999995
187,147.99999999999955,146.45199999999966,146.39999999999952
188,146.79999999999953,146.3999999999996,145.99999999999952
189,147.59999999999957,146.43599999999964,145.99999999999952
190,147.59999999999954,146.41599999999963,145.5999999999995
191,147.59999999999954,146.42799999999966,145.99999999999952
192,146.39999999999955,146.39599999999962,145.99999999999952
193,146.39999999999952,146.3999999999996,146.3999999999995
194,147.19999999999953,146.4119999999996,145.99999999999952
195,147.59999999999957,146.41999999999962,146.3999999999995
196,147.99999999999955,146.43199999999962,146.39999999999952
197,147.59999999999954,146.4359999999996,146.3999999999995
198,147.99999999999957,146.46399999999963,146.3999999999995
199,147.19999999999953,146.4119999999996,146.3999999999995
200,147.59999999999957,146.41599999999963,146.3999999999995
