,best fitness, average fitness, worst fitness
0,149.9999999999996,147.24799999999954,145.99999999999952
1,149.9999999999996,148.2959999999996,146.7999999999995
2,152.3999999999996,149.27999999999957,147.59999999999954
3,152.7999999999996,150.47199999999967,148.79999999999953
4,152.7999999999996,151.61999999999952,147.99999999999957
5,152.7999999999996,152.61199999999945,149.9999999999996
6,153.19999999999962,152.70399999999938,149.5999999999996
7,153.19999999999962,152.78399999999945,150.39999999999958
8,153.19999999999962,153.03599999999938,148.7999999999996
9,153.19999999999962,153.08399999999938,149.99999999999955
10,153.19999999999962,152.9279999999994,149.59999999999962
11,153.19999999999962,153.0519999999994,147.99999999999957
12,153.19999999999962,152.9959999999994,149.59999999999954
13,153.19999999999962,153.01999999999944,149.99999999999955
14,153.19999999999962,152.9279999999994,148.79999999999956
15,153.19999999999962,153.07999999999942,149.99999999999955
16,153.19999999999962,153.02799999999942,148.39999999999955
17,153.19999999999962,153.02799999999937,149.99999999999957
18,153.19999999999962,153.0439999999994,149.5999999999996
19,153.19999999999962,153.05599999999936,149.59999999999957
20,153.19999999999962,153.05999999999938,150.39999999999958
21,153.19999999999962,153.0599999999994,148.79999999999956
22,153.19999999999962,153.1039999999994,149.5999999999996
23,153.19999999999962,153.08399999999938,149.9999999999996
24,153.19999999999962,153.0639999999994,149.59999999999962
25,153.19999999999962,153.11999999999938,149.99999999999957
26,153.19999999999962,152.9599999999994,149.19999999999956
27,153.19999999999962,152.9879999999994,148.79999999999959
28,153.19999999999962,153.0439999999994,149.19999999999956
29,153.19999999999962,153.14399999999935,150.79999999999959
30,153.19999999999962,153.0599999999994,149.19999999999956
31,153.19999999999962,153.09199999999942,149.99999999999957
32,153.19999999999962,152.9279999999994,149.1999999999996
33,153.19999999999962,153.07199999999938,148.79999999999959
34,153.19999999999962,153.01999999999944,149.5999999999996
35,153.19999999999962,153.03599999999938,149.99999999999955
36,153.19999999999962,153.0919999999994,149.59999999999957
37,153.19999999999962,153.14799999999937,149.1999999999996
38,153.19999999999962,153.00399999999937,148.79999999999959
39,153.19999999999962,153.02799999999937,148.79999999999959
40,153.19999999999962,153.03199999999939,149.59999999999954
41,153.19999999999962,153.0319999999994,150.3999999999996
42,153.19999999999962,152.98799999999937,148.39999999999952
43,153.19999999999962,153.03199999999936,148.3999999999996
44,153.19999999999962,153.14399999999938,149.1999999999996
45,153.19999999999962,153.1039999999994,149.59999999999957
46,153.19999999999962,153.0559999999994,149.99999999999957
47,153.19999999999962,153.05199999999937,148.79999999999956
48,153.19999999999962,153.12399999999937,149.9999999999996
49,153.19999999999962,153.03599999999938,149.19999999999956
50,153.19999999999962,153.0559999999994,149.1999999999996
51,153.19999999999962,152.9919999999994,148.79999999999959
52,153.19999999999962,153.06399999999937,149.59999999999954
53,153.19999999999962,152.9959999999994,149.5999999999996
54,153.19999999999962,153.0359999999994,148.79999999999959
55,153.19999999999962,152.93599999999935,147.59999999999954
56,153.59999999999962,153.0879999999994,149.1999999999996
57,153.59999999999962,153.14799999999957,149.59999999999962
58,153.59999999999962,153.4479999999999,150.79999999999959
59,153.59999999999962,153.5159999999999,149.99999999999963
60,153.59999999999962,153.43199999999987,150.3999999999996
61,153.59999999999962,153.31999999999988,149.99999999999957
62,153.59999999999962,153.41599999999988,149.5999999999996
63,153.59999999999962,153.43199999999987,149.5999999999996
64,153.59999999999962,153.5359999999999,150.7999999999996
65,153.59999999999962,153.4719999999999,149.19999999999956
66,153.59999999999962,153.44399999999987,149.9999999999996
67,153.59999999999962,153.48799999999991,149.99999999999955
68,153.59999999999962,153.5799999999999,151.5999999999996
69,153.59999999999962,153.4239999999999,149.5999999999996
70,153.59999999999962,153.47599999999989,150.3999999999996
71,153.59999999999965,153.40399999999988,149.1999999999996
72,153.59999999999965,153.33599999999984,149.99999999999957
73,153.59999999999965,153.40799999999993,150.39999999999958
74,153.59999999999965,153.4559999999999,149.5999999999996
75,153.59999999999965,153.55199999999988,149.19999999999962
76,153.59999999999965,153.54799999999986,151.19999999999962
77,153.59999999999965,153.44399999999987,149.99999999999963
78,153.59999999999965,153.45599999999985,150.7999999999996
79,153.59999999999965,153.43999999999988,149.1999999999996
80,153.59999999999965,153.44399999999987,149.1999999999996
81,153.59999999999965,153.47199999999987,147.99999999999957
82,153.59999999999965,153.37199999999987,149.59999999999962
83,153.59999999999965,153.4879999999999,149.59999999999962
84,153.59999999999965,153.35599999999985,150.3999999999996
85,153.59999999999965,153.4799999999999,149.99999999999963
86,154.39999999999966,153.4239999999999,149.99999999999957
87,154.39999999999966,153.63999999999984,149.9999999999996
88,155.19999999999968,154.15199999999967,149.19999999999962
89,155.19999999999968,154.4559999999996,151.59999999999965
90,155.19999999999968,154.8999999999995,149.99999999999963
91,155.19999999999968,154.9119999999994,150.3999999999996
92,155.19999999999968,154.9639999999994,150.7999999999996
93,155.19999999999968,154.92399999999935,150.7999999999996
94,155.19999999999968,155.12399999999937,151.19999999999962
95,155.19999999999968,155.15199999999936,152.79999999999964
96,155.19999999999968,154.97199999999938,150.39999999999964
97,155.19999999999968,154.9559999999994,148.79999999999959
98,155.19999999999968,155.12399999999937,151.59999999999965
99,155.19999999999968,155.01199999999938,149.9999999999996
100,155.19999999999968,154.9519999999994,149.59999999999962
101,155.19999999999968,154.9639999999994,150.79999999999964
102,155.19999999999968,154.97599999999937,150.39999999999964
103,155.19999999999968,154.9559999999994,151.5999999999996
104,155.19999999999968,155.07199999999938,150.79999999999964
105,155.19999999999968,154.91599999999943,150.39999999999964
106,155.19999999999968,155.0399999999994,151.19999999999965
107,155.19999999999968,155.08799999999937,151.99999999999966
108,155.19999999999968,155.04799999999938,151.19999999999965
109,155.19999999999968,154.8959999999994,149.19999999999962
110,155.19999999999968,155.07199999999935,151.9999999999996
111,155.19999999999968,155.0519999999994,151.59999999999962
112,155.19999999999968,155.03599999999938,151.1999999999996
113,155.19999999999968,154.97599999999937,150.79999999999964
114,155.19999999999968,154.94799999999938,151.59999999999965
115,155.19999999999968,155.1119999999994,150.79999999999964
116,155.19999999999968,155.03199999999939,149.9999999999996
117,155.19999999999968,154.96799999999936,151.19999999999962
118,155.19999999999968,155.0159999999994,150.79999999999959
119,155.19999999999968,155.16799999999938,153.99999999999963
120,155.19999999999968,154.99599999999936,149.59999999999962
121,155.19999999999968,155.1039999999994,151.9999999999996
122,155.19999999999968,154.9799999999994,149.59999999999965
123,155.19999999999968,154.89199999999937,149.59999999999962
124,155.19999999999968,154.91999999999936,149.99999999999957
125,155.19999999999968,154.97199999999938,150.79999999999959
126,155.19999999999968,155.0359999999994,151.59999999999957
127,155.19999999999968,155.0759999999994,151.59999999999962
128,155.19999999999968,154.9439999999994,150.79999999999959
129,155.19999999999968,154.90799999999942,150.79999999999959
130,155.19999999999968,155.0239999999994,151.19999999999965
131,155.19999999999968,154.9919999999994,150.7999999999996
132,155.19999999999968,154.92799999999937,150.39999999999966
133,155.19999999999968,155.10799999999938,151.99999999999963
134,155.19999999999968,155.00799999999938,149.1999999999996
135,155.19999999999968,154.95199999999934,150.39999999999958
136,155.19999999999968,155.04399999999941,151.99999999999963
137,155.19999999999968,154.9999999999994,151.19999999999965
138,155.19999999999968,155.03599999999938,149.59999999999962
139,155.19999999999968,155.03199999999936,151.19999999999962
140,155.19999999999968,154.99599999999936,149.99999999999957
141,155.19999999999968,154.96799999999942,150.7999999999996
142,155.19999999999968,154.9919999999994,150.79999999999959
143,155.19999999999968,154.9799999999994,150.39999999999958
144,155.19999999999968,155.0999999999994,151.5999999999996
145,155.19999999999968,155.01999999999938,151.1999999999996
146,155.19999999999968,155.0599999999994,149.19999999999965
147,155.19999999999968,154.8759999999994,148.79999999999959
148,155.19999999999968,155.03599999999938,149.99999999999963
149,155.19999999999968,155.07599999999937,150.3999999999996
150,155.19999999999968,154.9279999999994,150.3999999999996
